Date,I_0221,I_0225,I_0229,I_0233,I_0237,I_0241,I_0245,I_0249,I_0342,I_1223,I_1229,I_1233,I_1237,I_1241,I_1245,I_1249
2009-10-10 22:00:00,308.2725,301.3095,306.669,164.3985,138.1835,136.655,130.678,139.8955,84.2335,299.684,299.834,180.392,158.729,151.655,157.8825,158.6815
2009-10-10 23:00:00,308.3195,301.322,309.7345,164.214,138.1745,136.6685,130.6915,139.9325,84.226,299.683,299.7925,180.4115,158.7275,151.861,157.895,158.689
2009-10-11 00:00:00,308.2375,301.3755,306.681,163.7175,138.1645,136.643,130.689,139.8945,84.225,299.681,299.8115,180.3965,158.7355,151.8375,157.883,158.685
2009-10-11 01:00:00,308.1725,301.2195,307.5915,164.06,138.157,136.648,130.6805,139.9055,84.2135,299.6895,299.792,180.3965,158.741,151.678,157.8865,158.6945
2009-10-11 02:00:00,308.3145,301.327,308.93,164.5965,138.147,136.6465,130.669,139.891,84.221,299.7235,299.8035,180.389,158.733,151.704,157.897,158.6815
2009-10-11 03:00:00,308.413,301.311,307.227,164.487,138.14,136.6445,130.6605,139.8945,84.2185,299.6745,299.7845,180.392,158.7475,151.695,157.8805,158.6775
2009-10-11 04:00:00,308.396,305.0175,306.666,163.7685,138.149,136.6515,130.6805,139.8995,84.2135,299.7065,299.7915,180.4005,158.7235,151.7015,157.889,158.6815
2009-10-11 05:00:00,308.304,301.298,306.658,163.8395,138.1355,136.6245,130.663,139.874,84.209,299.7185,299.8095,180.3965,158.7265,151.7065,157.8815,158.6905
2009-10-11 06:00:00,308.288,303.591,306.7755,164.259,138.1355,136.641,130.6805,139.888,84.213,299.7655,299.822,180.3945,158.7305,151.7945,157.8855,158.685
2009-10-11 07:00:00,308.279,303.119,306.6985,164.53,138.124,136.6285,130.657,139.8745,84.202,299.664,299.816,180.3965,158.7195,151.738,157.8945,158.6825
2009-10-11 08:00:00,308.2725,303.6445,306.686,164.2405,138.1265,136.632,130.668,139.883,84.2055,299.712,299.825,180.3965,158.7235,151.7905,157.8825,158.6985
2009-10-11 09:00:00,309.8225,301.397,306.722,163.744,138.116,136.63,130.664,139.878,84.208,299.709,299.8225,180.4055,158.739,151.689,157.88,158.6905
2009-10-11 10:00:00,308.3575,301.3485,306.703,163.9175,138.1115,136.6305,130.6615,139.873,84.201,299.7585,299.811,180.493,158.7305,151.766,157.8935,158.686
2009-10-11 11:00:00,308.0735,301.317,306.7115,164.489,138.102,136.62,130.649,139.8665,84.201,299.723,299.8175,180.35,158.726,151.904,157.8985,158.68
2009-10-11 12:00:00,307.4615,301.3155,306.7215,164.5245,138.0995,136.6285,130.6515,139.8755,84.198,299.7305,299.8365,180.395,158.734,151.6825,157.8825,158.688
2009-10-11 13:00:00,308.6535,301.3465,306.72,163.9835,138.1045,136.6325,130.6625,139.876,84.194,299.742,299.8215,180.401,158.7285,151.6975,157.8895,158.688
2009-10-11 14:00:00,308.305,301.3425,306.712,163.779,138.094,136.6205,130.6475,139.8715,84.1935,299.734,299.8565,180.3975,158.7075,151.699,157.885,158.6855
